Número de viajeros;Edad_media_viajeros;cantidad de niños;País_origen;Ingreso Familiar;Motivo Viaje;Presupuesto Viaje;Fecha Viaje;País Destino;;;;;;;;;;;
1;41;1;México;2203;Negocios;1247;02-04-19;España;;;;;;;;;;;
1;42;2;Chile;3087;Otros;2115;02-04-22;Argentina;;;;;;;;;;;
2;34;4;España;2746;Negocios;2625;17-07-22;Suiza;;;;;;;;;;;
1;46;2;México;2321;Ocio;1088;05-04-22;Canadá;;;;;;;;;;;
3;43;1;México;2216;Otros;1010;01-04-20;Canadá;;;;;;;;;;;
4;38;3;España;2704;Negocios;2140;06-04-22;Alemania;;;;;;;;;;;
2;44;3;España;2768;Otros;1482;09-08-22;Suiza;;;;;;;;;;;
2;50;1;España;2512;Otros;1938;01-08-22;Reino Unido;;;;;;;;;;;
4;46;4;España;2545;Negocios;1424;06-04-22;Alemania;;;;;;;;;;;
1;47;1;Chile;2984;Negocios;1804;05-03-22;Perú;;;;;;;;;;;
2;35;3;España;2666;Ocio;2558;13-07-22;Reino Unido;;;;;;;;;;;
3;45;3;México;2195;Negocios;1007;17-01-23;Estados Unidos;;;;;;;;;;;
1;46;2;España;2795;Ocio;1472;06-04-20;Alemania;;;;;;;;;;;
4;50;3;Chile;2751;Negocios;2658;07-04-22;Argentina;;;;;;;;;;;
1;38;1;España;2527;Otros;2723;16-09-21;Francia;;;;;;;;;;;
2;41;4;México;2158;Otros;1310;29-12-19;Estados Unidos;;;;;;;;;;;
3;35;4;España;2636;Ocio;1460;21-06-20;Reino Unido;;;;;;;;;;;
2;50;2;España;2501;Negocios;2173;06-09-19;Reino Unido;;;;;;;;;;;
1;36;1;México;2137;Ocio;1083;05-04-22;Canadá;;;;;;;;;;;
4;37;2;España;2629;Ocio;1603;07-04-19;Francia;;;;;;;;;;;
2;33;3;España;2802;Otros;1819;08-08-19;Francia;;;;;;;;;;;
1;42;2;España;2709;Otros;1708;04-04-20;Francia;;;;;;;;;;;
4;38;1;México;2311;Negocios;1175;13-03-22;Cuba;;;;;;;;;;;
3;43;2;México;2204;Ocio;1483;06-04-19;Estados Unidos;;;;;;;;;;;
4;40;3;Chile;3056;Otros;2144;04-04-21;Colombia;;;;;;;;;;;
1;35;4;España;2816;Ocio;2945;05-04-19;Francia;;;;;;;;;;;
3;38;2;México;2240;Otros;1016;03-04-22;Estados Unidos;;;;;;;;;;;
1;31;4;España;2691;Otros;1652;07-04-21;Alemania;;;;;;;;;;;
3;41;4;México;2264;Otros;1497;17-02-22;Cuba;;;;;;;;;;;
4;35;1;México;2061;Negocios;1290;26-02-20;Cuba;;;;;;;;;;;
3;40;3;España;2692;Otros;1052;29-07-20;Reino Unido;;;;;;;;;;;
1;41;1;Chile;3068;Negocios;1622;03-04-22;Brasil;;;;;;;;;;;
3;50;4;Chile;2845;Otros;2563;29-01-21;Argentina;;;;;;;;;;;
2;36;1;España;2583;Ocio;2699;12-08-21;Reino Unido;;;;;;;;;;;
3;43;2;México;2057;Otros;1414;07-04-20;España;;;;;;;;;;;
1;30;2;México;2038;Otros;1166;11-02-22;Canadá;;;;;;;;;;;
1;42;3;Chile;2953;Ocio;1806;06-04-22;Argentina;;;;;;;;;;;
4;32;3;México;2033;Negocios;1270;06-04-19;Cuba;;;;;;;;;;;
2;35;3;Chile;2737;Otros;2016;16-02-20;Estados Unidos;;;;;;;;;;;
2;32;1;Chile;2973;Otros;1879;15-02-20;Argentina;;;;;;;;;;;
3;47;1;México;2166;Ocio;1241;14-01-23;España;;;;;;;;;;;
3;42;2;Chile;2802;Ocio;1930;02-04-21;Estados Unidos;;;;;;;;;;;
3;38;3;Chile;2977;Negocios;2832;04-04-21;Colombia;;;;;;;;;;;
2;41;4;México;2330;Negocios;1008;03-04-19;Cuba;;;;;;;;;;;
4;34;4;Chile;3054;Negocios;2291;09-01-22;Estados Unidos;;;;;;;;;;;
4;49;2;México;2287;Negocios;1327;26-02-23;Cuba;;;;;;;;;;;
4;41;1;Chile;2808;Otros;2102;28-01-20;Colombia;;;;;;;;;;;
4;33;3;Chile;3213;Otros;2948;01-04-20;Argentina;;;;;;;;;;;
1;34;3;México;2132;Ocio;1088;10-03-21;Canadá;;;;;;;;;;;
3;30;2;Chile;2955;Otros;2144;02-04-19;Brasil;;;;;;;;;;;
3;34;2;España;2794;Otros;2892;20-09-19;Francia;;;;;;;;;;;
3;47;3;México;2420;Otros;1015;08-01-20;Estados Unidos;;;;;;;;;;;
2;33;3;España;2649;Otros;1425;07-09-22;Estados Unidos;;;;;;;;;;;
1;40;4;Chile;2729;Otros;1755;04-04-22;Argentina;;;;;;;;;;;
1;44;2;México;2335;Negocios;1218;10-03-23;Cuba;;;;;;;;;;;
4;31;3;España;2772;Ocio;1814;01-04-19;Francia;;;;;;;;;;;
4;48;3;Chile;2754;Ocio;2607;02-04-21;Argentina;;;;;;;;;;;
3;37;2;Chile;2933;Otros;1502;03-04-22;Estados Unidos;;;;;;;;;;;
1;48;4;Chile;2976;Negocios;2432;30-12-20;Colombia;;;;;;;;;;;
1;36;1;México;2362;Negocios;1238;12-03-20;Colombia;;;;;;;;;;;
2;43;4;Chile;2931;Ocio;2662;02-04-21;Colombia;;;;;;;;;;;
2;39;3;Chile;3184;Otros;2495;16-03-20;Brasil;;;;;;;;;;;
3;39;4;España;2737;Otros;1650;31-08-21;Estados Unidos;;;;;;;;;;;
1;33;4;España;2773;Negocios;2942;02-08-20;Francia;;;;;;;;;;;
4;44;4;España;2590;Otros;1255;07-04-19;Reino Unido;;;;;;;;;;;
3;46;1;Chile;2722;Otros;2709;05-04-22;Colombia;;;;;;;;;;;
3;36;4;España;2688;Ocio;2851;23-06-22;Suiza;;;;;;;;;;;
3;33;4;Chile;3095;Ocio;2112;27-01-20;Perú;;;;;;;;;;;
3;41;2;España;2487;Ocio;1987;03-04-20;Alemania;;;;;;;;;;;
2;38;1;México;2418;Negocios;1269;25-02-23;Estados Unidos;;;;;;;;;;;
3;34;4;España;2714;Ocio;1179;01-07-21;Estados Unidos;;;;;;;;;;;
2;37;1;Chile;3001;Ocio;2627;02-04-20;Argentina;;;;;;;;;;;
4;50;1;Chile;3161;Otros;2731;05-04-22;Estados Unidos;;;;;;;;;;;
2;36;1;Chile;2944;Otros;1834;03-04-19;Brasil;;;;;;;;;;;
1;45;1;México;2262;Negocios;1381;07-04-20;Canadá;;;;;;;;;;;
4;46;1;España;2513;Ocio;1675;05-08-21;Reino Unido;;;;;;;;;;;
1;31;1;Chile;2903;Negocios;2876;06-04-22;Colombia;;;;;;;;;;;
2;45;4;Chile;2757;Otros;2288;05-04-19;Argentina;;;;;;;;;;;
3;40;4;Chile;2848;Ocio;2083;10-02-21;Estados Unidos;;;;;;;;;;;
1;40;1;México;2227;Ocio;1023;07-04-22;Canadá;;;;;;;;;;;
3;37;1;Chile;2674;Negocios;1964;04-04-19;Brasil;;;;;;;;;;;
4;39;3;Chile;3188;Otros;2566;03-04-19;Perú;;;;;;;;;;;
4;39;1;México;2195;Ocio;1209;24-01-22;España;;;;;;;;;;;
4;40;4;España;2642;Negocios;2454;02-04-20;Suiza;;;;;;;;;;;
2;38;1;España;2776;Negocios;1711;06-04-22;Reino Unido;;;;;;;;;;;
3;47;2;Chile;2640;Negocios;1779;06-04-19;Perú;;;;;;;;;;;
1;43;1;México;2360;Ocio;1011;23-12-19;Colombia;;;;;;;;;;;
1;31;2;Chile;3065;Otros;2791;06-04-19;Argentina;;;;;;;;;;;
2;46;1;España;2769;Ocio;2202;01-09-19;Suiza;;;;;;;;;;;
3;40;4;Chile;3010;Ocio;1958;30-01-20;Argentina;;;;;;;;;;;
2;32;3;España;2770;Negocios;1166;07-04-20;Suiza;;;;;;;;;;;
4;44;1;Chile;2748;Otros;2237;02-04-19;Argentina;;;;;;;;;;;
4;48;3;España;2576;Ocio;1777;01-07-19;Suiza;;;;;;;;;;;
4;47;2;Chile;2768;Negocios;2113;27-12-20;Perú;;;;;;;;;;;
1;31;2;Chile;2728;Ocio;2147;01-04-22;Perú;;;;;;;;;;;
1;40;4;México;2133;Otros;1197;07-04-20;Cuba;;;;;;;;;;;
3;39;1;México;2216;Ocio;1359;05-02-22;Colombia;;;;;;;;;;;
1;34;2;México;2250;Negocios;1061;06-03-21;Colombia;;;;;;;;;;;
1;38;4;México;2343;Negocios;1163;05-04-21;Cuba;;;;;;;;;;;
4;43;2;México;2112;Otros;1249;05-04-22;Cuba;;;;;;;;;;;
1;47;2;Chile;3033;Ocio;2036;30-12-19;Estados Unidos;;;;;;;;;;;
2;50;1;España;2805;Ocio;2818;03-04-20;Estados Unidos;;;;;;;;;;;
3;31;2;Chile;2640;Negocios;1795;11-02-21;Colombia;;;;;;;;;;;
4;43;1;Chile;2643;Otros;2337;03-04-19;Argentina;;;;;;;;;;;
3;31;3;Chile;2586;Otros;1799;12-02-20;Perú;;;;;;;;;;;
3;34;3;Chile;2803;Otros;2784;24-01-23;Estados Unidos;;;;;;;;;;;
2;37;1;Chile;3197;Negocios;2424;07-02-21;Argentina;;;;;;;;;;;
3;49;1;Chile;2556;Ocio;1607;11-01-20;Argentina;;;;;;;;;;;
1;46;2;Chile;3204;Otros;2809;06-04-21;Brasil;;;;;;;;;;;
3;32;4;México;2354;Otros;1366;02-04-21;Estados Unidos;;;;;;;;;;;
2;49;4;Chile;2789;Ocio;2314;18-03-22;Colombia;;;;;;;;;;;
1;42;1;España;2755;Negocios;1922;06-08-20;Reino Unido;;;;;;;;;;;
4;40;4;México;2154;Ocio;1300;04-04-21;Canadá;;;;;;;;;;;
4;40;2;España;2552;Otros;1548;06-04-20;Suiza;;;;;;;;;;;
2;32;4;México;2153;Negocios;1402;10-03-22;Colombia;;;;;;;;;;;
4;45;2;España;2619;Ocio;1971;06-07-21;Alemania;;;;;;;;;;;
3;33;2;Chile;3023;Ocio;1961;08-02-23;Argentina;;;;;;;;;;;
4;36;3;España;2781;Negocios;2495;14-07-22;Estados Unidos;;;;;;;;;;;
1;46;3;Chile;3127;Otros;2745;07-04-22;Argentina;;;;;;;;;;;
1;44;3;España;2454;Negocios;2837;15-09-21;Reino Unido;;;;;;;;;;;
1;30;4;Chile;2981;Ocio;2982;07-04-20;Estados Unidos;;;;;;;;;;;
4;49;4;Chile;2834;Ocio;2592;01-04-19;Perú;;;;;;;;;;;
4;33;4;Chile;3031;Ocio;2455;01-04-20;Argentina;;;;;;;;;;;
3;43;3;México;2153;Otros;1233;12-01-21;Estados Unidos;;;;;;;;;;;
2;43;2;Chile;2983;Otros;1955;14-02-20;Brasil;;;;;;;;;;;
3;33;3;Chile;3134;Ocio;1739;06-04-22;Perú;;;;;;;;;;;
2;49;2;España;2483;Negocios;1125;19-09-21;Suiza;;;;;;;;;;;
3;40;4;México;2399;Otros;1474;05-04-19;Cuba;;;;;;;;;;;
2;33;4;México;2013;Otros;1225;01-04-22;Canadá;;;;;;;;;;;
3;48;2;Chile;2836;Otros;2467;09-01-21;Brasil;;;;;;;;;;;
1;49;2;México;2028;Ocio;1125;01-04-19;España;;;;;;;;;;;
3;30;4;España;2737;Negocios;2397;13-08-20;Suiza;;;;;;;;;;;
2;47;3;Chile;2669;Ocio;1897;04-02-21;Estados Unidos;;;;;;;;;;;
1;41;1;España;2687;Ocio;2991;04-08-20;Reino Unido;;;;;;;;;;;
4;38;4;España;2638;Negocios;1770;18-08-19;Francia;;;;;;;;;;;
1;30;2;Chile;3133;Negocios;1898;04-03-20;Brasil;;;;;;;;;;;
3;49;1;México;2013;Otros;1293;31-12-21;Canadá;;;;;;;;;;;
2;39;2;España;2760;Ocio;1057;05-04-20;Reino Unido;;;;;;;;;;;
4;37;2;Chile;2670;Ocio;2509;31-01-23;Colombia;;;;;;;;;;;
4;37;2;Chile;2970;Otros;1969;01-04-20;Perú;;;;;;;;;;;
1;43;1;España;2752;Otros;2728;15-08-21;Reino Unido;;;;;;;;;;;
1;47;2;Chile;3085;Negocios;2419;02-04-20;Perú;;;;;;;;;;;
1;37;3;México;2038;Ocio;1291;02-04-20;Canadá;;;;;;;;;;;
2;36;1;España;2717;Ocio;2599;07-04-21;Francia;;;;;;;;;;;
3;40;1;Chile;2580;Ocio;1522;07-04-19;Colombia;;;;;;;;;;;
1;36;4;Chile;2998;Ocio;2947;01-02-22;Perú;;;;;;;;;;;
4;36;1;España;2489;Negocios;1640;05-04-20;Reino Unido;;;;;;;;;;;
1;30;1;México;2059;Ocio;1199;06-04-21;Cuba;;;;;;;;;;;
2;45;2;España;2718;Negocios;2075;05-04-19;Estados Unidos;;;;;;;;;;;
1;43;3;España;2503;Negocios;1392;31-07-19;Suiza;;;;;;;;;;;
3;45;3;Chile;3102;Ocio;2366;15-01-23;Estados Unidos;;;;;;;;;;;
4;47;3;Chile;2847;Otros;1761;04-04-22;Colombia;;;;;;;;;;;
4;39;1;España;2771;Negocios;2735;11-08-21;Francia;;;;;;;;;;;
2;47;4;España;2776;Otros;1225;04-04-21;Francia;;;;;;;;;;;
4;32;4;México;2284;Otros;1251;13-02-22;España;;;;;;;;;;;
1;44;1;Chile;2795;Otros;2245;16-02-23;Brasil;;;;;;;;;;;
4;34;3;España;2525;Ocio;2976;27-06-19;Suiza;;;;;;;;;;;
2;34;2;España;2515;Negocios;1517;06-09-21;Francia;;;;;;;;;;;
2;43;1;España;2532;Negocios;2877;23-06-22;Reino Unido;;;;;;;;;;;
4;33;2;Chile;2931;Otros;1830;05-04-19;Colombia;;;;;;;;;;;
1;43;2;España;2517;Otros;1582;03-04-19;Suiza;;;;;;;;;;;
4;49;2;España;2779;Negocios;1428;01-04-21;Francia;;;;;;;;;;;
4;30;3;Chile;3163;Ocio;2872;02-04-21;Estados Unidos;;;;;;;;;;;
3;43;3;España;2710;Ocio;1200;08-09-21;Suiza;;;;;;;;;;;
3;49;4;Chile;2678;Negocios;2526;06-04-19;Brasil;;;;;;;;;;;
4;47;2;México;2260;Negocios;1071;05-04-19;Cuba;;;;;;;;;;;
4;48;1;España;2747;Otros;1743;08-09-21;Reino Unido;;;;;;;;;;;
2;39;3;España;2713;Negocios;1938;22-08-19;Alemania;;;;;;;;;;;
2;38;1;España;2471;Negocios;2901;23-06-20;Francia;;;;;;;;;;;
4;36;3;México;2027;Ocio;1293;02-04-22;Colombia;;;;;;;;;;;
1;46;2;Chile;3031;Ocio;1724;02-03-22;Estados Unidos;;;;;;;;;;;
1;42;2;España;2585;Negocios;1310;03-04-19;Francia;;;;;;;;;;;
3;30;4;España;2735;Ocio;1718;10-08-19;Suiza;;;;;;;;;;;
3;42;4;México;2359;Negocios;1258;29-01-21;Cuba;;;;;;;;;;;
4;39;4;Chile;2959;Otros;1835;15-03-21;Estados Unidos;;;;;;;;;;;
4;44;3;España;2475;Otros;2314;01-04-20;Estados Unidos;;;;;;;;;;;
3;33;3;México;2200;Negocios;1262;05-04-20;Estados Unidos;;;;;;;;;;;
3;32;3;México;2097;Ocio;1312;25-02-20;Colombia;;;;;;;;;;;
3;31;4;España;2514;Ocio;1373;05-04-20;Francia;;;;;;;;;;;
3;48;2;Chile;3152;Otros;2344;21-01-20;Perú;;;;;;;;;;;
4;42;4;Chile;2994;Ocio;2270;14-01-21;Colombia;;;;;;;;;;;
1;41;1;México;2204;Negocios;1439;01-04-19;Colombia;;;;;;;;;;;
1;32;4;México;2299;Otros;1492;05-04-20;Colombia;;;;;;;;;;;
4;40;1;México;2391;Negocios;1111;25-01-23;España;;;;;;;;;;;
2;49;3;México;2325;Otros;1103;04-04-21;Colombia;;;;;;;;;;;
2;39;4;México;2064;Otros;1151;06-04-22;Canadá;;;;;;;;;;;
2;31;4;Chile;2658;Ocio;2844;04-04-21;Estados Unidos;;;;;;;;;;;
1;35;2;Chile;2999;Negocios;2512;06-04-20;Colombia;;;;;;;;;;;
4;50;4;Chile;3041;Negocios;2867;06-03-22;Colombia;;;;;;;;;;;
2;42;4;México;2361;Negocios;1025;15-03-21;Colombia;;;;;;;;;;;
1;45;4;Chile;2969;Otros;2666;06-04-21;Argentina;;;;;;;;;;;
3;40;1;Chile;2603;Otros;2714;07-04-20;Colombia;;;;;;;;;;;
1;46;1;Chile;2667;Negocios;1816;03-04-20;Brasil;;;;;;;;;;;
2;42;3;España;2473;Negocios;2351;10-08-20;Suiza;;;;;;;;;;;
1;46;1;Chile;3097;Ocio;2307;01-04-20;Brasil;;;;;;;;;;;
4;31;2;España;2593;Ocio;2596;07-04-19;Reino Unido;;;;;;;;;;;
1;37;1;Chile;2872;Negocios;1625;03-04-19;Colombia;;;;;;;;;;;
2;41;3;México;2193;Negocios;1346;29-02-20;España;;;;;;;;;;;
4;30;3;México;2427;Otros;1438;07-04-22;Estados Unidos;;;;;;;;;;;
4;47;1;Chile;2891;Otros;2642;10-03-20;Perú;;;;;;;;;;;
4;37;4;España;2583;Otros;1519;02-04-20;Estados Unidos;;;;;;;;;;;
4;50;2;España;2505;Ocio;1741;03-04-19;Estados Unidos;;;;;;;;;;;
1;46;4;México;2021;Otros;1133;15-02-22;Cuba;;;;;;;;;;;
2;32;4;México;2246;Otros;1346;05-04-22;Colombia;;;;;;;;;;;
2;35;1;España;2655;Ocio;2655;18-09-19;Francia;;;;;;;;;;;
4;31;2;Chile;2898;Otros;2674;11-02-21;Perú;;;;;;;;;;;
2;45;4;México;2383;Otros;1094;05-04-22;Colombia;;;;;;;;;;;
3;43;2;España;2710;Otros;2254;07-04-19;Alemania;;;;;;;;;;;
2;39;4;México;2360;Ocio;1048;03-04-22;Cuba;;;;;;;;;;;
1;34;4;Chile;2576;Otros;1646;06-04-21;Estados Unidos;;;;;;;;;;;
4;42;4;España;2460;Negocios;2243;21-06-22;Reino Unido;;;;;;;;;;;
1;46;4;España;2482;Otros;1137;04-04-22;Francia;;;;;;;;;;;
1;50;1;España;2537;Ocio;2409;07-04-19;Alemania;;;;;;;;;;;
1;46;1;México;2206;Negocios;1066;01-04-20;Cuba;;;;;;;;;;;
4;39;2;México;2189;Negocios;1383;03-04-22;España;;;;;;;;;;;
3;42;3;México;2107;Otros;1329;17-02-20;Cuba;;;;;;;;;;;
2;36;4;México;2225;Otros;1489;06-02-21;Colombia;;;;;;;;;;;
4;50;2;Chile;2766;Otros;1715;03-04-20;Colombia;;;;;;;;;;;
1;32;4;México;2297;Negocios;1018;24-12-21;Canadá;;;;;;;;;;;
3;47;3;México;2264;Ocio;1046;02-04-19;Canadá;;;;;;;;;;;
2;35;3;Chile;3187;Negocios;2313;02-04-20;Brasil;;;;;;;;;;;
4;31;3;México;2193;Negocios;1440;06-04-20;Canadá;;;;;;;;;;;
2;48;4;Chile;2733;Negocios;1947;07-04-21;Estados Unidos;;;;;;;;;;;
4;38;1;España;2561;Negocios;1616;03-04-19;Estados Unidos;;;;;;;;;;;
3;37;4;México;2098;Ocio;1088;06-04-22;Cuba;;;;;;;;;;;
3;32;3;Chile;2577;Ocio;2809;07-04-19;Brasil;;;;;;;;;;;
4;35;4;México;2102;Otros;1169;19-03-20;Canadá;;;;;;;;;;;
1;45;2;España;2512;Negocios;2772;04-07-22;Estados Unidos;;;;;;;;;;;
1;41;3;Chile;3063;Negocios;2900;05-04-20;Brasil;;;;;;;;;;;
1;39;3;España;2732;Negocios;2980;29-07-22;Francia;;;;;;;;;;;
4;40;2;México;2016;Negocios;1309;02-04-21;Canadá;;;;;;;;;;;
2;33;4;México;2045;Otros;1368;03-04-20;España;;;;;;;;;;;
2;42;4;España;2505;Ocio;1967;03-04-19;Suiza;;;;;;;;;;;
4;43;3;Chile;2674;Negocios;1840;28-01-20;Perú;;;;;;;;;;;
1;38;4;Chile;2980;Ocio;1859;01-04-19;Argentina;;;;;;;;;;;
2;37;2;Chile;2944;Ocio;1525;02-02-22;Estados Unidos;;;;;;;;;;;
4;43;1;Chile;3144;Negocios;2606;11-01-20;Colombia;;;;;;;;;;;
1;30;3;México;2194;Negocios;1379;21-01-22;Canadá;;;;;;;;;;;
4;48;2;México;2386;Negocios;1097;27-12-20;Canadá;;;;;;;;;;;
2;34;4;España;2625;Otros;1606;03-04-22;Suiza;;;;;;;;;;;
4;31;1;México;2163;Negocios;1350;07-04-20;Estados Unidos;;;;;;;;;;;
1;46;4;España;2525;Negocios;1458;06-04-19;Suiza;;;;;;;;;;;
4;48;3;México;2057;Ocio;1422;07-04-20;Estados Unidos;;;;;;;;;;;
3;32;1;Chile;2581;Negocios;1517;01-02-22;Colombia;;;;;;;;;;;
2;35;4;Chile;2658;Negocios;2369;28-02-20;Brasil;;;;;;;;;;;
1;30;1;España;2728;Ocio;1614;06-04-20;Alemania;;;;;;;;;;;
3;38;2;España;2461;Negocios;2290;04-04-20;Alemania;;;;;;;;;;;
1;33;1;Chile;2757;Ocio;1607;05-01-22;Brasil;;;;;;;;;;;
2;38;4;México;2168;Otros;1073;04-04-20;España;;;;;;;;;;;
4;42;3;Chile;2882;Negocios;2216;03-04-22;Colombia;;;;;;;;;;;
2;37;3;España;2714;Negocios;1294;07-07-19;Alemania;;;;;;;;;;;
2;48;4;México;2232;Negocios;1424;10-01-20;Cuba;;;;;;;;;;;
3;38;1;Chile;2936;Ocio;2022;05-04-21;Estados Unidos;;;;;;;;;;;
4;38;4;México;2259;Ocio;1043;05-01-22;Canadá;;;;;;;;;;;
3;43;2;Chile;2638;Otros;1829;07-04-20;Estados Unidos;;;;;;;;;;;
4;47;1;España;2479;Ocio;1620;01-04-21;Alemania;;;;;;;;;;;
4;35;1;España;2658;Negocios;1320;10-08-20;Estados Unidos;;;;;;;;;;;
1;45;3;Chile;3163;Ocio;2473;03-04-20;Brasil;;;;;;;;;;;
1;43;1;España;2689;Otros;2074;07-04-21;Suiza;;;;;;;;;;;
1;33;3;España;2594;Ocio;1914;29-06-20;Francia;;;;;;;;;;;
4;46;1;Chile;3061;Otros;2551;06-04-22;Estados Unidos;;;;;;;;;;;
4;34;2;México;2061;Ocio;1189;21-01-23;Cuba;;;;;;;;;;;
4;47;4;España;2787;Otros;1627;09-08-22;Suiza;;;;;;;;;;;
4;39;2;España;2576;Negocios;2977;02-04-22;Reino Unido;;;;;;;;;;;
1;30;4;España;2690;Ocio;2180;04-04-20;Francia;;;;;;;;;;;
3;42;1;Chile;2729;Otros;2999;04-04-22;Perú;;;;;;;;;;;
1;46;4;Chile;3197;Negocios;1934;05-01-23;Perú;;;;;;;;;;;
2;46;2;Chile;3057;Ocio;1835;08-01-20;Argentina;;;;;;;;;;;
2;42;4;España;2630;Negocios;2116;05-04-20;Reino Unido;;;;;;;;;;;
2;32;3;España;2532;Ocio;2571;03-08-22;Estados Unidos;;;;;;;;;;;
1;38;1;México;2258;Negocios;1481;20-02-23;Colombia;;;;;;;;;;;
3;36;4;Chile;2699;Ocio;1918;05-04-19;Estados Unidos;;;;;;;;;;;
3;50;4;España;2564;Ocio;1607;22-07-20;Estados Unidos;;;;;;;;;;;
2;50;1;España;2750;Ocio;2723;01-04-21;Suiza;;;;;;;;;;;
1;30;1;México;2415;Ocio;1035;03-04-22;Estados Unidos;;;;;;;;;;;
4;38;3;México;2051;Ocio;1242;07-04-22;Cuba;;;;;;;;;;;
1;47;4;Chile;2657;Otros;2410;03-04-19;Argentina;;;;;;;;;;;
2;50;1;México;2382;Ocio;1373;03-04-21;Estados Unidos;;;;;;;;;;;
3;41;1;España;2609;Negocios;1677;02-04-21;Francia;;;;;;;;;;;
1;33;2;España;2795;Ocio;1119;18-09-20;Reino Unido;;;;;;;;;;;
2;31;3;México;2249;Ocio;1342;29-01-21;España;;;;;;;;;;;
4;43;1;Chile;3060;Otros;1721;26-12-20;Brasil;;;;;;;;;;;
4;48;4;Chile;3021;Otros;2164;24-12-19;Colombia;;;;;;;;;;;
1;47;3;México;2340;Otros;1015;01-02-21;Estados Unidos;;;;;;;;;;;
1;45;1;México;2142;Otros;1400;04-04-19;Cuba;;;;;;;;;;;
2;35;4;España;2779;Otros;1039;06-04-22;Francia;;;;;;;;;;;
1;42;2;Chile;2663;Otros;1891;08-02-21;Argentina;;;;;;;;;;;
1;47;2;México;2111;Negocios;1204;26-02-20;Colombia;;;;;;;;;;;
1;37;4;México;2169;Negocios;1063;01-02-20;Canadá;;;;;;;;;;;
3;43;1;España;2739;Otros;2696;13-07-21;Francia;;;;;;;;;;;
3;48;3;Chile;2895;Otros;2025;19-03-22;Estados Unidos;;;;;;;;;;;
4;45;3;España;2598;Otros;2212;09-07-19;Suiza;;;;;;;;;;;
3;39;2;España;2521;Otros;2711;02-04-20;Estados Unidos;;;;;;;;;;;
4;41;2;España;2517;Negocios;1402;17-07-21;Alemania;;;;;;;;;;;
2;43;1;Chile;2941;Ocio;2527;26-01-20;Perú;;;;;;;;;;;
4;43;2;México;2027;Negocios;1055;02-04-19;Colombia;;;;;;;;;;;
3;38;1;México;2033;Ocio;1274;03-04-20;Cuba;;;;;;;;;;;
3;50;3;México;2211;Ocio;1265;02-03-21;Canadá;;;;;;;;;;;
4;30;2;España;2630;Negocios;2269;26-06-22;Estados Unidos;;;;;;;;;;;
3;49;4;España;2607;Otros;1813;03-04-21;Suiza;;;;;;;;;;;
4;39;1;España;2477;Otros;2515;05-04-22;Suiza;;;;;;;;;;;
4;33;2;España;2607;Negocios;1417;20-08-19;Estados Unidos;;;;;;;;;;;
3;49;1;México;2415;Otros;1103;01-01-21;Estados Unidos;;;;;;;;;;;
1;49;2;México;2341;Ocio;1074;23-01-23;España;;;;;;;;;;;
2;49;3;España;2763;Ocio;2754;17-07-20;Francia;;;;;;;;;;;
2;32;1;México;2413;Negocios;1420;06-04-19;Colombia;;;;;;;;;;;
4;34;4;Chile;3210;Negocios;2287;10-02-20;Perú;;;;;;;;;;;
4;32;2;España;2691;Negocios;2165;19-07-21;Reino Unido;;;;;;;;;;;
2;50;3;Chile;3186;Ocio;1883;06-04-20;Estados Unidos;;;;;;;;;;;
4;38;1;España;2627;Negocios;2580;02-04-21;Suiza;;;;;;;;;;;
2;39;3;España;2677;Ocio;2131;03-04-21;Suiza;;;;;;;;;;;
3;41;4;México;2415;Ocio;1107;21-12-19;Canadá;;;;;;;;;;;
1;33;2;México;2130;Ocio;1278;18-03-23;Cuba;;;;;;;;;;;
1;34;1;México;2092;Ocio;1500;05-04-21;España;;;;;;;;;;;
3;47;4;España;2497;Negocios;1284;06-04-19;Alemania;;;;;;;;;;;
4;35;2;España;2711;Negocios;2474;03-04-19;Suiza;;;;;;;;;;;
3;43;4;México;2401;Ocio;1182;11-03-23;Cuba;;;;;;;;;;;
3;38;2;España;2785;Negocios;1039;11-07-19;Francia;;;;;;;;;;;
2;37;1;Chile;2788;Otros;1709;12-01-23;Estados Unidos;;;;;;;;;;;
4;36;3;España;2701;Otros;1397;13-08-21;Suiza;;;;;;;;;;;
3;38;4;México;2406;Negocios;1023;26-01-22;Cuba;;;;;;;;;;;
4;30;2;Chile;3041;Ocio;1971;05-04-20;Perú;;;;;;;;;;;
3;34;3;Chile;2756;Ocio;2997;02-04-20;Colombia;;;;;;;;;;;
1;49;4;Chile;2912;Ocio;2139;07-04-20;Colombia;;;;;;;;;;;
3;48;4;México;2332;Otros;1433;20-01-22;España;;;;;;;;;;;
1;35;3;México;2205;Ocio;1402;17-03-21;Cuba;;;;;;;;;;;
4;41;2;México;2009;Negocios;1224;03-04-21;Colombia;;;;;;;;;;;
4;44;4;España;2492;Ocio;2393;04-04-19;Estados Unidos;;;;;;;;;;;
3;43;4;Chile;2987;Negocios;1991;06-04-19;Perú;;;;;;;;;;;
3;31;2;España;2800;Otros;2326;05-04-21;Reino Unido;;;;;;;;;;;
1;33;3;España;2701;Otros;1987;05-09-21;Alemania;;;;;;;;;;;
2;34;4;México;2401;Negocios;1330;19-01-21;España;;;;;;;;;;;
3;40;4;Chile;2795;Ocio;2707;03-04-19;Perú;;;;;;;;;;;
